Thorvald Problem CSV Report,,,,Run Date:,,2022-02-25
 n T932.A.AK972.742 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',11
 n KJ74.T.AKT84.964 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n J864.A.AKT43.T42 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n J986.A.AKT73.J63 s AQ5.KJ9642.QJ6.8 ,'Sp ',11,'He ',11,'Di ',12
 n T832.A.AK843.J74 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',8,'Di ',10
 n KJ92.Q.AT854.T74 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',10
 n J976.A.AKT74.763 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n KJT7.Q.K9854.J64 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',8,'Di ',9
 n K876.A.A8732.T32 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',9,'Di ',10
 n KJ76.Q.AT952.762 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',9,'Di ',11
 n K972.T.AK543.T52 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',10
 n KT72.3.AK984.J65 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',8,'Di ',10
 n KT94.T.AK942.754 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',9,'Di ',11
 n J643.A.AK752.J62 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',9,'Di ',11
 n J973.Q.AK874.653 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',10
 n K986.3.AKT53.642 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n J732.A.AT842.J95 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n JT32.Q.AK832.T54 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',11,'Di ',10
 n KT86.T.AKT75.532 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',8,'Di ',11
 n KT73.A.AT875.J63 s AQ5.KJ9642.QJ6.8 ,'Sp ',12,'He ',12,'Di ',12
 n T642.Q.AK952.J94 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',10
 n KJ43.Q.A7543.T72 s AQ5.KJ9642.QJ6.8 ,'Sp ',7,'He ',8,'Di ',9
 n K764.A.K8532.532 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n K873.8.AKT53.J76 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',10,'Di ',11
 n KJ76.7.AK842.632 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',11
 n KJ98.3.AKT85.J53 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n K976.5.AK972.T65 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',10
 n 9872.Q.AK532.J97 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',9,'Di ',10
